BM,VM,BH,AS,DC,EN,AP,LN,GS,ME,GC,LH,PE,PS,MD1,LC,EE,AF,LB,MD2,CP,UT,R,US
2,14,2,20,0,1,0,3,6,0,1,0,17,0,6,0,0,0,0,5,69,8,0,0
3,1,0,30,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
4,11,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0
37,30,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0
36,63,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
40,135,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0
43,176,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
30,73,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
3,33,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0
8,37,1,15,0,0,0,3,1,0,1,0,0,0,0,0,1,0,0,0,10,5,0,0
9,16,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0
7,15,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0
2,66,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0
16,49,2,20,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,5,11,5,0,0
7,5,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,10,0,0
4,3,0,30,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,41,1,0,0
3,13,0,15,1,0,0,5,1,0,0,0,5,0,1,0,0,0,0,2,17,3,0,0
2,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
25,10,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
5,17,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0
